epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,464.164,0.43774,0.52164,0.29534,0.82981,0.99099,0.99038,0.99482,0.91441,0.99099,0.99038,0.99477,0.8391,0.43513,0.80926,0.26918,0.81203,0.0002378,0.0002378,0.0002378
91,470.038,0.40747,0.51044,0.26647,0.8037,0.98653,0.99006,0.99482,0.91452,0.98653,0.99006,0.99473,0.83544,0.44513,0.80075,0.26802,0.81186,0.000218,0.000218,0.000218
92,474.957,0.40461,0.49259,0.26334,0.81875,0.99547,0.99067,0.99495,0.90962,0.99547,0.99067,0.99495,0.84151,0.43198,0.81942,0.26426,0.80876,0.0001982,0.0001982,0.0001982
93,479.809,0.38745,0.48872,0.25992,0.77062,0.99547,0.99047,0.99495,0.91282,1,0.98013,0.99482,0.83676,0.44145,0.81819,0.26592,0.81041,0.0001784,0.0001784,0.0001784
94,484.719,0.40007,0.50958,0.26117,0.81312,0.99547,0.99055,0.99495,0.91504,1,0.98134,0.99487,0.84199,0.44168,0.81808,0.26389,0.8113,0.0001586,0.0001586,0.0001586
95,489.675,0.40705,0.49749,0.26044,0.81052,0.9949,0.9955,0.995,0.91425,0.9904,0.99099,0.99491,0.8439,0.43552,0.85068,0.26034,0.81068,0.0001388,0.0001388,0.0001388
96,494.587,0.39392,0.47697,0.25785,0.80022,0.9905,0.9955,0.99495,0.91094,0.9905,0.9955,0.99486,0.84177,0.44575,0.86025,0.26427,0.8106,0.000119,0.000119,0.000119
97,499.511,0.40899,0.5023,0.26067,0.81113,0.99043,0.9955,0.99495,0.91306,0.99043,0.9955,0.99486,0.84069,0.44119,0.84273,0.26355,0.81062,9.92e-05,9.92e-05,9.92e-05
98,504.418,0.39836,0.51562,0.25789,0.80491,0.99429,0.9955,0.99495,0.91647,0.99429,0.9955,0.99486,0.84389,0.42668,0.83551,0.25901,0.80821,7.94e-05,7.94e-05,7.94e-05
99,509.32,0.39079,0.4977,0.25362,0.80378,0.99103,0.99541,0.99491,0.91866,0.99103,0.99541,0.99477,0.84435,0.42389,0.8359,0.25837,0.80706,5.96e-05,5.96e-05,5.96e-05
100,514.215,0.38256,0.50611,0.24415,0.80065,0.99018,0.9955,0.99495,0.91531,0.99018,0.9955,0.99486,0.84162,0.4244,0.83451,0.25988,0.80633,3.98e-05,3.98e-05,3.98e-05
